month,GHI_kWh_m2_day,Tamb_C,PV_kWh_day,self_sufficiency_pct,pv_self_consumption_pct,load_kWh_day
Jan,4.000,14.500,23.629,54.988,66.333,28.000
Feb,4.900,17.500,28.518,58.554,58.460,28.000
Mar,5.800,21.500,33.088,57.222,61.061,34.825
Apr,6.500,27.500,36.072,54.294,70.795,46.525
May,7.400,33.000,39.902,52.582,76.136,57.250
Jun,8.000,36.000,42.404,52.041,78.092,63.100
Jul,7.700,37.000,40.709,50.383,81.189,65.050
Aug,7.200,36.500,38.205,48.302,81.734,64.075
Sep,6.500,33.000,35.120,47.648,78.461,57.250
Oct,5.500,27.000,30.644,48.501,72.996,45.550
Nov,4.400,20.500,25.322,51.897,68.469,32.875
Dec,3.800,15.500,22.360,53.896,68.729,28.000
